Company,items,industry
삼성SDI,"['2차전지, 전자재료 제조 판매']",['일차전지 및 축전지 제조업']
LG에너지솔루션,"['2차전지 (소형,ESS,자동차전지)']",['일차전지 및 축전지 제조업']
에코프로비엠,['양극활물질'],['일차전지 및 축전지 제조업']
LG전자,"['이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기']",['통신 및 방송 장비 제조업']
엘앤에프,['2차전지 양극활물질'],['일차전지 및 축전지 제조업']
SK아이이테크놀로지,['2차전지용 습식 분리막 및 폴더블 커버 윈도우'],['일차전지 및 축전지 제조업']
피엔티,['2차전지 및 전자소재용 Roll-to-Roll 장비'],['특수 목적용 기계 제조업']
더블유씨피,['이차전지용 분리막'],['일차전지 및 축전지 제조업']
두산퓨얼셀,['연료전지'],"['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
성일하이텍,"['코발트, 니켈, 리튬 등']",['기초 화학물질 제조업']
천보,"['디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재']",['기초 화학물질 제조업']
씨아이에스,['2차전지 제조설비'],['특수 목적용 기계 제조업']
엔켐,['2차전지 전해액'],['기초 화학물질 제조업']
에스피지,['소형 Geared Motor'],"['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
비츠로셀,['리튬1차전지'],['일차전지 및 축전지 제조업']
원익피앤이,['2차전지 자동화 설비'],['특수 목적용 기계 제조업']
필에너지,['2차전지 제조장비'],['특수 목적용 기계 제조업']
원준,['2차전지용 열처리 장비'],['특수 목적용 기계 제조업']
새빗켐,"['폐전지재활용소재, 폐산재활용']",['기타 화학제품 제조업']
솔브레인홀딩스,"['반도체,디스플레이,2차전지 공정용 화학제품']",['회사 본부 및 경영 컨설팅 서비스업']
신흥에스이씨,"['2차전지용 안전 부품(Cap Assembly, CID)']",['일차전지 및 축전지 제조업']
엠플러스,['이차전지 자동화 조립설비'],['특수 목적용 기계 제조업']
디에이테크놀로지,['2차전지설비'],['특수 목적용 기계 제조업']
아비코전자,"['인덕터, 저항기']",['전자부품 제조업']
아남전자,"['칼라TV,오디오,비디오 제조,도매']",['영상 및 음향기기 제조업']
팅크웨어,"['내비게이션,블랙박스,태블릿 및 위치정보서비스']",['통신 및 방송 장비 제조업']
인포마크,"['웨어러블 디바이스, 모바일 라우터']",['통신 및 방송 장비 제조업']
동양이엔피,"['휴대폰용,OA기기및통신장비용,디지털가전용전원공급장치']","['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
휴맥스,['셋톱박스'],['영상 및 음향기기 제조업']
대보마그네틱,"['전자석탈철기, 자력선별기']",['기타 전기장비 제조업']
나인테크,['이차전지 제조 장비'],['특수 목적용 기계 제조업']
이노메트리,['엑스레이검사 장비'],['특수 목적용 기계 제조업']
삼화전기,"['콘덴서 제조,판매']",['전자부품 제조업']
와이엠텍,['계전기(EV Relay)'],"['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
가온그룹,['디지털셋톱박스'],['통신 및 방송 장비 제조업']
유비벨록스,"['모바일플랫폼 및 모바일솔루션, 스마트카드 등']",['소프트웨어 개발 및 공급업']
모바일어플라이언스,"['블랙박스, 내비게이션, HUD, ADAS']",['소프트웨어 개발 및 공급업']
지아이텍,"['SLOT DIE, SLIT NOZZLE, REPAIR, 기타']",['특수 목적용 기계 제조업']
에스퓨얼셀,"['건물용 연료전지, 발전용 연료전지']","['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
뉴인텍,['콘덴서'],['자동차 신품 부품 제조업']
에이치와이티씨,['2차전지 장비 초정밀 부품'],['기타 금속 가공제품 제조업']
성호전자,"['전원공급장치,필름콘덴서']",['전자부품 제조업']
이지트로닉스,['전력변환장치'],"['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
파워넷,['전력변환장치'],"['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
TJ미디어,['영상음향반주기'],['영상 및 음향기기 제조업']
휴맥스홀딩스,"['지주사업, IT서비스사업']","['컴퓨터 프로그래밍, 시스템 통합 및 관리업']"
에이에프더블류,['음극마찰용접단자'],['일차전지 및 축전지 제조업']
에스씨디,['전자렌지용 MOTOR 및 냉장고용 TIMER'],['가정용 기기 제조업']
피에스텍,"['적산계기, 전기차충전기, 신재생에너지 발전소 설치']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
알로이스,['안드로이드 OTT 멀티미디어 디바이스'],['통신 및 방송 장비 제조업']
삼진,['리모컨'],['통신 및 방송 장비 제조업']
에이디칩스,"['업소용냉동냉장, 반도체칩']",['그외 기타 제품 제조업']
파인디지털,"['원격 RF 감시장치, 디지털 광 중계기, 노드분배기']",['통신 및 방송 장비 제조업']
성문전자,"['콘덴서용 증착필름,압력분무식 플러스자동도포기 제조,판매']",['전자부품 제조업']
신화콘텍,"['커넥터(정보통신기기용, 디스플레이용, HDD용 등)']","['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
앤씨앤,['차량용 블랙박스 / 영상처리용 시스템반도체'],['반도체 제조업']
웰킵스하이텍,"['DRIVER-IC,DDI Package,트랜스포머,코일']",['반도체 제조업']
경인전자,"['스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매']",['전자부품 제조업']