Company,items,industry,description
녹십자홀딩스,"알부민,유로키나제,간염백신,유행성출혈열백신 제조",회사 본부 및 경영 컨설팅 서비스업,"기업개요
동사는 지주회사에 대한 사업목적을 승인 받아 생명공학 및 헬스케어 관련 기업을 사업자회사로 둔 지주회사 체제로 경영시스템을 전환하였음.
동사는 전체 경영전략 수립과 조정, 신규 전략사업의 진출, 출자자산의 포트폴리오 관리 등을 담당하고 있으며, 의약품의 제조 판매 등 실제 사업은 각 자회사가 수행하고 있음.
동사의 지주회사 경영시스템은 주력 자회사인 녹십자를 필두로 국내 28개, 해외 17개, 총 45개의 계열회사를 두고 있음.
출처 : 에프앤가이드"
명문제약,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",의약품 제조업,"기업개요
동사는 1983년에 설립되어 의약품 제조 및 판매를 주 목적사업으로 하고 있으며 2008년 7월 유가증권시장에 상장됨.
국내 최초 경피흡수제형인 패취제인 '키미테'를 국내 시장에 소개해 멀미약으로 대중적 인지도를 높였고 인구고령화에 발맞춘 고혈압, 당뇨 등의 제품들을 출시함.
서비스 사업부문에서는 골프장, 부동산 개발 등을 영위하는 '명문투자개발'을 종속회사로 보유하고 있음.
출처 : 에프앤가이드"
보령,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조",의약품 제조업,"기업개요
동사는 전문의약품(ETC) 사업에서 고혈압, 이상지질혈증, 당뇨, CNS, 항암제 질환군과 관련한 의약품 사업을 영위하며 항암제 질환군과 관련해서는 오리지널 제품 브랜드의 인수와 도입을 진행 중임.
안산공장과 예산공장의 우수한 전문 생산시설의 가동률을 높이고 매출 및 이익에 기여하기 위해 수탁생산을 실시하는 사업부문을 보유함.
일반의약품 사업으로는 겔포스와 용각산을 주력으로 함.
출처 : 에프앤가이드"
삼성제약,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",의약품 제조업,"기업개요
동사는 의약품 제조 및 판매업, 바이오사업, 건강식품 제조 및 판매업을 영위하고 있음.
주요제품으로는 까스명수, 쓸기담, 우황청심원현탁액, 판토에이등이 있으며, 노인성 질환 전문의약품 강화를 목적으로 신제품 발매 및 허가를 진행하고 있음.
전문의약품의 경우 항생제. 전립선치료제 등 80여개의 다양한 제품군을 바탕으로 판매대행을 활용한 마케팅 및 영업활동을 진행함.
출처 : 에프앤가이드"
제일약품,의약품,의약품 제조업,"기업개요
동사는 2017년 6월 1일에 제일파마홀딩스 주식회사(구 제일약품 주식회사)로부터 인적분할되어 설립된 분할신설회사임.
동사는 혁신신약 및 개량신약 개발에 집중적으로 투자하고 있음. 현재 박사급 12명(중앙연구소 10명, 제제기술연구소 2명), 석사급 60명 등 총 114명의 연구개발 관련 인력을 보유하고 있음.
주요 제품은 넥실렌, 란스톤 캡슐, 클로피린 캡슐, 티에스원 캡슐 등임.
출처 : 에프앤가이드"
제일파마홀딩스,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",회사 본부 및 경영 컨설팅 서비스업,"기업개요
동사는 2017년 인적분할을 하였고, 분할전회사인 제일약품이 보유한 자회사 및 관계회사 지분 모두를 보유하며 이에 따른 지분법이익 및 자회사 관리 그리고 투자자산에 대한 임대업을 주된 영업으로 하고 있음.
종속회사 제일약품의 주요제품은 리피토, 리리카, 쎄레브렉스, 뉴론틴 캡슐 등이며, 제일헬스사이언스의 주요제품은 케펜텍, 한방파프수 등이 있음.
종속회사 제일앤파트너스는 제일약품의 완제의약품의 판매대행을 주된 영업으로 하고 있음.
출처 : 에프앤가이드"
종근당홀딩스,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",의약품 제조업,"기업개요
동사는 투자사업부문을 담당하는 (주)종근당홀딩스(존속법인)와 의약사업부문의 (주)종근당(신설법인)으로 2013년 11월 2일 인적분할을 통해 지주회사 체제로 전환.
당분기말 현재 공정거래법상의 자회사 요건을 만족하는 회사는 (주)종근당, (주)경보제약,(주)종근당바이오 등 총 8개 회사가 있음.
동사의 매출액은 경영자문료, 브랜드사용료, 배당금수익 등으로 구성되어 있음.
출처 : 에프앤가이드"
한미사이언스,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",기타 금융업,"기업개요
동사는 사업형 지주회사로서 자회사의 지분이익, 특허권 및 상표권 사용료 수입, 계열사 관리 등을 통해 자체적으로 수익을 창출하고 있으며, 이를 기반으로 신약개발의 리스크 분담, 중장기 비전 수립 등에 매진.
연결회사의 영업부문은 지주부문, 의약품도매부문, 기타부문으로 구성됨.
HMP몰과 같은 온라인 거래 플랫폼과 300여명의 약국 영업 인프라를 바탕으로 전국 약국에 약품을 공급하고 있음.
출처 : 에프앤가이드"
CJ 바이오사이언스,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",자연과학 및 공학 연구개발업,"기업개요
동사는 2009년 설립되어 2019년 코스닥시장에 상장하며 마이크로바이옴 치료제 신약개발과 마이크로바이옴 생명정보 분석서비스 및 마이크로바이옴 기반 맞춤형 헬스케어 사업을 영위함.
생명정보 분석핵심 역량과 BT/IT 융합 기술을 보유한 유전체 빅데이터 기반의 마이크로바이옴 플랫폼기업임.
주요 제품으로는 'EzBioCloud 플랫폼', 'NGS/BI 통합 솔루션', 'TrueBac ID' 등이 있음.
출처 : 에프앤가이드"
강스템바이오텍,줄기세포치료제,기초 의약물질 및 생물학적 제제 제조업,"기업개요
동사 및 종속회사 사업부문은 줄기세포, 화장품, 바이오파마, 비임상시험 등임.
동사의 줄기세포 사업은 자체 개발한 다분화능을 가진 줄기세포를 인간 제대혈로부터 고순도로 분리하고, 대량배양하는 기술을 기반으로 동종 제대혈 유래 줄기세포치료제(의약품) 연구개발을 주요 사업으로 영위하고 있음.
화장품 사업은 동사의 줄기세포 배양액을 기반으로 한 제품을 위주로 판매하고 있으며, 온라인유통망을 강화함.
출처 : 에프앤가이드"
노을,융복합 체외진단 플랫폼,의료용 기기 제조업,"기업개요
동사는 Embedded AI 기술과 자체 보유 원천기술인 NGSI 기술을 기반으로 혈액과 조직세포를 분석해 질병을 진단하는 차세대 진단검사 플랫폼 기업임.
주력 제품인 miLab Dx는 하나의 디바이스에서 말라리아 & 열 질환, 혈액분석, 암 진단 등 3개 분야에서 총 8개 종류의 질병 진단이 가능한 플랫폼임.
miLab Viewer는 원격 진단 뷰어로서, 디바이스와 클라우드에 접속해 진단결과를 볼 수 있는 서비스임.
출처 : 에프앤가이드"
농우바이오,"고추, 수박, 참외(메론), 오이, 호박, 무, 배추 등",작물 재배업,"기업개요
동사는 1990년 6월 종자 육종 및 육성연구에 대한 제반사업 등을 영위할 목적으로 설립되어 수원시에 본사를 두고 경기도 여주군 등에 육종연구소와 지점을 설치/운영하고 있음.
주요 매출원은 고추, 수박, 무, 배추 등 각종 종자매출이며, 원예 및 수도용 상토사업도 영위중.
국내 김제와 중국, 미국, 인도 등에 종자연구 및 생산과 판매를 영위하는 연결대상 종속회사 8개사를 보유중임.
출처 : 에프앤가이드"
대한과학,"의료, 정밀 및 연구실험기기 제조 및 유통",기계장비 및 관련 물품 도매업,"기업개요
동사는 과학기술분야 R&D의 필수과정인 연구, 실험에 사용되는 연구용 실험기기를 유통 및 제조하는 국내 최대의 실험기기 종합 서비스 기업
실험에 사용되는 3만여 가지의 실험기기를 소싱하여 전문적인 서비스와 함께 공급하며, 초저온 냉동고, 회전진공농축기 등 고부가가치 위주의 프리미엄급 연구용 실험장비를 생산 중임.
연결대상 법인으로 연구용 실험기기를 제조하는 싸이랩코리아 등 5개사를 보유하고 있음.
출처 : 에프앤가이드"
동구바이오제약,"피부, 비뇨기과 완제의약품",의약품 제조업,"기업개요
동사는 전문의약품, CMO, 의료기기, 화장품 등 의약품 및 의약외품 제조업 및 판매업을 영위하는 의약품 및 의약외품 사업부문이 있음.
또한 신기술사업금융업을 영위하는 신기술사업금융 사업부문, 동구바이오제약 및 타 제약사 의약품에 대한 마케팅 대행업을 영위하는 마케팅대행 사업부문을 보유.
신기술사업금융 부문에서 바이오텍/플랫폼/혁신기술기업 중심의 투자활동 및 모기업과의 시너지를 통한 차별적 경쟁우위를 바탕으로 사업을 진행중.
출처 : 에프앤가이드"
루닛,Lunit INSIGHT,소프트웨어 개발 및 공급업,"기업개요
동사의 상호는 설립시 클디였으며, 2015년 10월 20일 상호를 현재의 루닛으로 변경함.
동사는 현재 딥러닝 기술을 통해 인간의 시각적 한계를 보완하는 판독 보조(AI-assisted detection) 솔루션을 개발하여 상용화하였음.
주요 제품 및 서비스로는 암 진단 관련 영상 판독 보조 솔루션인 Lunit INSIGHT와 암 치료 관련 이미징 바이오마커 솔루션인 Lunit SCOPE이 있음.
출처 : 에프앤가이드"
모비스,기업인수합병,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","기업개요
동사는 2016년 설립되어 하나금융인수목적 주식회사와 합병을 통해 2017년 코스닥 시장에 상장하였고, 피합병회사인 모비스는 2000년 설립되었음.
동사는 국가 차원에서 수행되는 대형 과학 프로젝트인 빅사이언스 시설물 제어에 필요한 제어시스템 및 장비를 공급하는 사업을 영위하고 있음.
2018년 9월 블록체인 기반한 P2P 광고 플랫폼 및 솔루션 제공을 하는 블록베이스 지분을 획득함.
출처 : 에프앤가이드"
미코바이오메드,체외진단용 의료기기,의료용 기기 제조업,"기업개요
2020년 코넥스에서 코스닥으로 이전상장한 미코바이오메드는 랩칩 (Labchip) 기술을바탕으로 현장진단 (POCT)에 최적화된 토탈 솔루션을 제공하는 체외진단 전문기업임.
동사는 2021년 2월 브라질 파트너와 합작법인을설립하고, 감염성 질환, 열대병 질환, 식중독등 진단 키트, 장비, LabChip의 생산 및 판매중임.
동사는 항원-항체 결합을 기반으로 하는 면역측정법인 ELISA 문제점을 개선한 기술을 보유하고 있음.
출처 : 에프앤가이드"
바이넥스,"정장제, 소화제",의약품 제조업,"기업개요
동사는 1957년 12월에 설립되어 2000년 4월 바이넥스로 상호를 변경하였으며 2001년 7월 코스닥시장에서 매매거래가 개시되었음.
동사는 1957년 12월에 설립되어 2000년 4월 바이넥스로 상호를 변경하였으며 2001년 7월 코스닥시장에서 매매거래가 개시되었음.
동사는 국내 대부분의 제약기업 및 바이오기업이 개발하고 있는 바이오의약품의 개발 및 생산을 수행하고 있음.
출처 : 에프앤가이드"
바이오에프디엔씨,식물세포 유래 유효물질 및 약리물질,기초 의약물질 및 생물학적 제제 제조업,"기업개요
동사는 식물세포 플랫폼 기술을 기반으로, 식물세포 유래 유효물질 및 약리물질 연구개발 및 생산을 주사업으로 영위하고 있음.
250여종의 세계 최대식물세포를 보유하고 있으며, 세계 최초로 식물세포 동결보존에 성공하여 식물세포를 지속적으로 활용할 수 있는 Plant Cell Banking 시스템을 구축함.
식물세포 유래 줄기세포 촉진제, 배뇨 개선제/요실금 치료제, 위염/위암 치료제 등의 상업화를 계획하고 있음.
출처 : 에프앤가이드"
바이오인프라,"생동성시험, 검체 분석",자연과학 및 공학 연구개발업,"기업개요
동사는 의약품을 개발하는 제약사나 의료기기 제조업체, 건강기능식품 개발사 또는 연구기관으로부터 비임상(독성 및 효능)과 임상시험을 위탁받아 연구를 수행하고, 객관적 시험 결과를 전달하는 역할을 하는 CRO기관임.
동사는 2021년 생동성시험승인계획서 승인 건수 기준 점유율 1위를 차지하고 있음.
분석에 있어서는 국내에서 유일하게 WHO 실사를 통과하고 Pfizer사의 위탁시험을 실시하는 등 높은 품질과 신뢰도를 인정받고 있음.
출처 : 에프앤가이드"
셀바스헬스케어,"체성분측정기, 혈압계, 점자정보단말기",의료용 기기 제조업,"기업개요
동사는 의료진단기기 및 시각보조공학기기 제품 개발 및 판매를 위해 1999년 1월 21일 설립됨.
동사는 체성분분석기와 전자동혈압계 등 의료진단기기 사업부문 '아큐닉(ACCUNIQ)'과 점자정보단말기, 전자독서확대기 등 시각장애인 보조공학기기 사업부문 '힘스(HIMS)'로 구성됨.
힘스(HIMS) 사업부문의 시각장애인 보조공학기기 국내 시장은 동사가 99% 이상을 점유하고 있음.
출처 : 에프앤가이드"
씨유메디칼,심장제세동기,의료용 기기 제조업,"기업개요
동사는 응급 의료기기 사업을 주 사업으로 하며, 주요고객은 병원, 소방서, 공공기관, 기업체 등. 일반인 사용 제품군부터 병원 전문 제품군까지 고루 갖추고 있음.
IoT를 이용한 원격관리 및 그룹관리 시스템, 가정용 Home AED 시스템 등의 개발로 향후 시장에 대응을 지속함.
IoT를 이용한 원격관리 및 그룹관리 시스템, 가정용 Home AED 시스템 등의 개발로 향후 시장에 대응을 지속함.
출처 : 에프앤가이드"
아스타,MALDI-TOF 질량분석기 기반 진단시스템,의료용품 및 기타 의약 관련제품 제조업,"기업개요
동사는 MALDI-TOF 질량분석기를 기반으로 차세대 진단 시스템을 개발하여 기존의 전통적인 진단방법/시스템을 개선하고자 하는 바이오 벤처기업임.
주요 제품인 MALDI-TOF 기반 진단시스템은 사전에 표준화된 각종 질병에 대한 데이터를 분석하여 질병의 유무를 진단하는 시스템임.
암 진단을 비롯하여 사람의 질병을 진단하는 의료분야 외에 동물 질병진단 분야로 MALDI-TOF 질량분석 기술의 적용 범위를 확대하였음.
출처 : 에프앤가이드"
아이센스,"혈당측정스트립, 혈당측정기기 등",의료용 기기 제조업,"기업개요
2000년 설립되었으며 혈당측정기 및 혈당측정스트립, 혈액분석기와 같은 화학 및 바이오센서 등을 개발, 제조 및 판매하는 사업을 영위하고 있음.
주요 사업부문으로는 당뇨병환자 및 정상인 누구나자신의 혈당수치를 자신이 직접 측정할 수있게 해주는 ;혈당측정기 부문'과 병원용진단 장비인 '현장진단(POCT) 부문'으로 구성되어 있음.
적은 채혈량과 빠른 측정시간의 사양을 갖춘 자가혈당측정기를 출시한 이후 세계시장에서 기술력을 인정받음.
출처 : 에프앤가이드"
앱클론,항체의약품,의료용품 및 기타 의약 관련제품 제조업,"기업개요
동사는 2010년에 설립된 난치성 질환 치료 목적의 항체신약 개발 전문 기업이며, 2017년 9월에 코스닥 시장에 기술특례 상장함.
동사 보유 기술은 NEST, AffiMab, CAR-T 등 플랫폼 기술로 파이프라인 확장성이 높음. 보유 기술을 통해 블록버스터 항체의약품과 병행치료 효과를 낼 수 있는 항체신약을 개발중.
개발한 신약은 직접 판매하지 않고 다국적제약사 등에 전임상 단계에서 License-out하여 수익창출함.
출처 : 에프앤가이드"
에이디엠코리아,임상 CRO 서비스,자연과학 및 공학 연구개발업,"기업개요
동사는 임상시험수탁기관(CRO)으로 제약회사, 바이오벤처 등에 임상시험과 관련한 전 영역에 걸친 서비스를 제공하고 있음.
주요 서비스 영역은 허가 목적의 임상시험으로서 전체 매출의 약 70%에 달하며, 시판 후 조사(PMS) 분야와 기타(개발, 허가, 컨설팅 분야) 서비스도 제공하고 있음.
DNA를 소재로 사용하여 피부 안으로 유효한 약물을 전달하는 나노마이크로 DNA 니들패치 기술을 이용한 제품을 개발 및 판매하고 있음.
출처 : 에프앤가이드"
에이프릴바이오,항체의약품 및 재조합 단백질 의약품,자연과학 및 공학 연구개발업,"기업개요
동사는 교원 창업 형태로 설립된 신약 후보물질 연구 및 개발을 영위하고 있으며, 2013년 1월 30일 설립됨.
당사는 신약 후보물질을 개발하는 연구개발 전문기업으로, 신약 후보물질을 임상1상전후로 기술이전하여 기술료를 통해 수익을 창출하는 사업을 영위하고 있음.
원하는 타겟 항원 결합 능력을 지닌 신약 후보물질을 획득하는 '항체라이브러리' 기술과 약효단백질의 혈청 내 반감기를 증대시키는 'SAFA플랫폼' 기술을 보유 중.
출처 : 에프앤가이드"
옵티팜,"옵티케어,메디피그 등",의료용품 및 기타 의약 관련제품 제조업,"기업개요
동물관련 사업과 인체관련 사업을 동시에 영위하는 회사로 2000년 설립되어 동물질병진단사업, 동물약품사업 및 박테리오파지 사업을 통해 사업 영위.
인체사업으로는 미니피그를 이용한 이종장기, VLP백신, 인체진단키트 연구개발을 주축으로 생명공학 부문 또한 진출한 경쟁력 보유 업체.
농림축산검역본부로부터 84개 질병, 212개 검사항목을 지정 받았으며 환경부로부터 야생동물 질병진단기관으로도 지정 받아 관련 영역을 확장해가고 있음.
출처 : 에프앤가이드"
제일바이오,동물사료첨가제,의약품 제조업,"기업개요
동사는 동물의약품 전문회사로 1977년 설립되어 2002년에 코스닥시장에 상장하였으며 2002년 사명을 제일화학에서 제일바이오로 변경함.
동사는 발효를 기반으로 하는 동물약품을 연구개발 및 제조·판매하고 있으며 제품제형화와 일반사료첨가제 사업에 대한 연구개발성과를 상업화하고 있는 중임.
국내 발효설비를 보유하고 순수 우리 기술에 의하여 개발된 원료를 생산 판매 수출해오고 있다는 점에서 선도적인 입지에 올라 있음.
출처 : 에프앤가이드"
조아제약,"의약품,의약부외품,보건보조식품,위생용품의제조판매",의약품 제조업,"기업개요
동사는 1988년 5월 삼강제약사를 인수하여 의약품 제조 및 판매업을 주 영업목적으로 설립되었고 1996년 법인전환을 하였으며, 조아제약으로 상호변경하였음.
동사는 의약품 및 의약외품의 제조 및 판매업 등을 주요 사업으로 영위하고 있음.
회사 설립 초기부터 일반의약품을 통한 약국영업에 주력해 조아바이톤, 헤포스, 가레오, 훼마틴, 잘크톤 등 총 200여 가지의 의약품 및 건강기능식품을 생산, 공급하고 있음.
출처 : 에프앤가이드"
큐라티스,"백신 및 면역증강제 개발제조업, CMO/CDMO",자연과학 및 공학 연구개발업,"기업개요
동사는 「백신 개발 플랫폼 기술」을 바탕으로 성인 및 청소년용 결핵백신 QTP101 및 차세대 mRNA 코로나19백신 QTP104를 개발하고 있음.
동사는 단순히 기술이전 및 로열티 수익을 목표로 하는 여타 바이오벤처들과는 달리 기술을 자체적으로 상업화하는 것에 최종목적을 두고 있음.
오픈 이노베이션을 필요로 하는 개발역량이 부족한 업체를 대상으로 CMO 및 CDMO 사업을 통해 사업의 자립성 및 연속성을 확보하고 있음.
출처 : 에프앤가이드"
티앤알바이오팹,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제",기초 의약물질 및 생물학적 제제 제조업,"기업개요
동사는 세포프린팅에 필수 재료라 할 수 있는 바이오잉크의 상용화를 완료하였고, 3D 바이오프린팅(세포 프린팅 포함) 시스템을 독자 개발함.
생분해성 인공지지체는 조직 공학 기술을 이용하여 생물학적 조직의 형성 및 재건에 도움을 주는 제품이며, 두개악안면 재건과 교정 및 성형 2개의 카테고리로 구분됨.
그 외에도 체외실험용 3D 오가노이드 (장기유사체) 및 3D 세포치료제를 개발하기 위한 연구를 진행 중임.
출처 : 에프앤가이드"
프로테옴텍,알레르기 진단 제품,의료용 기기 제조업,"기업개요
동사는 알레르기 진단제품을 필두로 항생제 감수성 진단, 현장진단 등 체외진단 의료기기 전 분야를 아우르는 사업을 영위.
인체용 알레르기 다중진단제품 ‘프로티아 알러지-큐’를 비롯한 전기용량 측정방식의 항생제 감수성을 검사할 수 있는 ‘프로티아 AST DL001’ 등 제품 개발을 통해 NET신기술 4건을 획득하고 장영실상을 2회 수상.
알레르기 진단제품의 경우 국내시장의 45%이상의 점유율과 전 세계 47개국에 제품을 수출중임.
출처 : 에프앤가이드"
프롬바이오,개별인정형 건강기능식품,기타 식품 제조업,"기업개요
동사는 2006년 6월 26일 건강기능식품원료 및 식품원료 도.소매를 주사업으로 영위할 목적으로 설립됨.
주요 제품은 노바렉스, 코스맥스바이오, 콜마비앤에이치 등의 전문생산업체를 통해 외주생산되고 있으며, 홍삼제품군 및 과채주스 등 일부 품목은 동사의 익산공장을 통해 자체생산하고 있음.
건강기능식품 및 건강지향식품 완제품을 홈쇼핑, 온라인, 백화점 및 대형마트 등의 채널을 통해 유통/판매함.
출처 : 에프앤가이드"
피제이전자,EMS Business(의료용기기제조외),의료용 기기 제조업,"기업개요
동사는 전자제품생산을 전문으로 하는 사업(EMS)을 영위하는 회사로 1969년 7월 설립되었으며 1993년 코스닥시장에 상장.
동사는 토탈 제조 시스템을 갖추고 고객 요구에 맞는 전자제품을 제조, 공급하는 전자제품생산(EMS) 전문업체임.
GE 및 SIEMENS BRAND로 국내외에 판매되는 초음파진단기를 전문생산하여 한국지이초음파등에 기존의 모델 이외에 신규 모델의 Order를 수주받아 공급.
출처 : 에프앤가이드"
녹십자,"알부민외 제조,판매",의약품 제조업,"기업개요
동사와 연결대상 종속회사의 주요 사업은 혈액제제와 백신제제를 필두로 전문의약품, OTC제제 등의 의약품 제조 및 판매함.
사업부문 중 '의약품 등 제조 및 판매'는 혈액제제류, OTC류, 일반제제류, 백신제제, 기타로 나뉘며 '검체 등 진단 및 분석' 사업부문은 혈액 진단 및 유전자 분석을 주요 제품 및 서비스로 함.
혈액제제류의 주요 상표로는 알부민, 아이비글로블린, Advate 외가 있음.
출처 : 에프앤가이드"
대원제약,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)",의약품 제조업,"기업개요
동사는 의약품 제조 및 판매를 주요 사업으로 영위하는 업체이며, 신약/개량신약/제네릭의약품 등을 국내 병/의원/약국을 대상으로 공급하고 있음.
선진 GMP급 생산시설과 특화된 제품력을 기반으로 국내 유수의 제약기업의 의약품을 생산/납품하는 수탁(CMO) 사업과, 세계 시장에 완제의약품 및 의료기기 등을 수출하는 해외사업을 영위.
국내 최초의 짜먹는 감기약 콜대원으로 대표되는 일반의약품 사업 진행 중.
출처 : 에프앤가이드"
동아에스티,"스티렌, 자이데나",의약품 제조업,"기업개요
동사는 구 동아제약에서 인적분할하여 2013년 3월 1일에 설립된 신설법인으로 2013년 3월 4일에 등기되었으며, 주권은 2013년 4월 8일에 재상장 됨.
자가개발의약품, 바이오의약품, 제네릭, 도입의약품 등 다양한 제품 포트폴리오를 가지고 있으며 다수의 블록버스터 제품을 바탕으로 시장지배력을 강화함.
의료 서비스 기대치 상승에 부응하는 의약품 연구개발 활성화 등으로 인해 국내 제약산업의 계속적인 성장을 기대하고 있음.
출처 : 에프앤가이드"
에이프로젠바이오로직스,"의약품(항생제,영양수액제,드링크제,철결핍성빈혈예방치료제,경옥동충하초) 제조,판매",의약품 제조업,"기업개요
동사는 의약품 등의 제조, 판매를 주요 사업으로 하고 있으며, 1984년 코스피 시장에 상장됨.
동사의 연결종속회사의 사업부문은 수익을 창출하는 재화와 용역의 성격, 시장의 특성 등을 고려하여 부문별 현황과 성과를 적절히 반영할 수 있도록 의약품 사업, 단열사업으로 구분함.
연결대상에 포함된 종속회사인 에이프로젠헬스케어앤게임즈는 의약품 도매업을, 에이프로젠파마는 의약품 도소매업을 주요 사업으로 하고 있음.
출처 : 에프앤가이드"
일동홀딩스,"의약품 제조,도매",의약품 제조업,"기업개요
동사는 지주회사로서 2023년 3월 31일 기준 일동제약, 일동바이오사이언스, 아이디언스를 포함하여 총 9개의 사업부문을 이루고 있음.
동사는 제약, 주류, 패션, 자동차, 가전, 택배, 식품 분야 등 7대 전략 업종을 선정, 지원 사업 전개, IoT 신시장 창출 및 소비자 시장에서의 활용 확대를 대비한 기술개발 및 사업을 추진.
동사의 유니기획은 수의계약과 같은 방법으로 광고대행사로 선정되어 대행업무를 수행.
출처 : 에프앤가이드"
한미약품,의약품,의약품 제조업,"기업개요
의약품 제조 및 판매를 주 사업목적으로 하고 있으며 주요 제품으로는 고혈압치료제(아모디핀), 복합고혈압치료제(아모잘탄) 등이 있음.
원료의약품 제조 및 판매업을 영위하는 한미정밀화학 및 의약품 제조 및 판매업 영위 업체 북경한미약품유한공사를 주요 자회사로 보유하고 있음.
호중구감소증 치료제 롤론티스 및 얀센에 기술 이전한 비만치료제 HM12525A, NASH 치료제 HM15211 임상에 따른 파이프라인 경쟁력을 확보함.
출처 : 에프앤가이드"
한올바이오파마,"의약품 제조,도매/부동산 임대",의약품 제조업,"기업개요
동사는 내분비계, 순환기계, 비뇨기계 등 다양한 포트폴리오 기반의 160여개 전문ㆍ일반의약품을 생산, 판매하고 있음.
2004년부터 글로벌신약 R&D를 통한 기업혁신으로 핵심 연구인력 확보와 연구시설 확충 등 R&D 인프라를 구축하였음.
Anti-TNF 바이오신약, 그리고 인체의 항암 면역작용을 강화하여 암을 치료하는 신규 작용 타깃의 항암 면역항체신약 등을 연구하고 있음.
출처 : 에프앤가이드"
환인제약,"의약품(신경정신질환치료제,소화기관용약제,연고) 제조,도매",의약품 제조업,"기업개요
동사와 그 종속기업(이하 ""연결실체"")의 지배기업인 환인제약 주식회사(이하 ""지배기업"")는 1982년 12월 16일 설립되어 의약품 제조 및 판매를 주요 영업으로 함.
의약품을 제조하여 병원 등에 판매를 주요사업으로 하고 있으며, 회사 전체 매출액 중 80%이상이 정신신경용제 매출이 차지함.
2022년 IMS DATA 기준 국내 정신치료 약물시장의 점유율 1위.
출처 : 에프앤가이드"
